state,county,zipcode,county_name,mean_household_income2000,mean_commutetime,num_degrees_2000,num_degrees_2010,foreign_residents2010,mean_household_income1990,mean_household_income2016,poverty2010,poverty2000,poverty1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,mean_3rdgrade_math_2013,mediangross_rent2015,numsingleparent_households2010,numsingleparent_households1990,numsingleparent_households2000,lessthan15commute_2010,employmentrate_2000,mail_return_rate2010,wage_growth_highschoolers,popdensity2010,popdensity2000,avg_job_growth_2004_13,job_density_2013
37,19,1500,Wilmington,66964.367,25.324663,0.15586844,0.22937125,0.039133962,23586.33244,48996.3296,0.13752075,0.1264707,0.15534347,0.808128,0.12045871,0.051651757,0.004706447,0.1525487,0.80433655,0.027227757,0.00253352,3.6779475,795.29132,0.32395956,0.21420625,0.30955011,0.30626673,0.55076158,85.881432,0.061424173,126.84082,86.359001,0.013390431,50.794888
37,21,1203,Asheville,68803.836,22.517529,0.24685474,0.31056869,0.057127628,26599.31875,48308.89278,0.14761601,0.1148759,0.11079695,0.84442216,0.071412988,0.05981084,0.008640825,0.076667547,0.87714356,0.027788665,0.00560823,3.9648099,808.98865,0.31360501,0.21896601,0.29700941,0.3228043,0.61025524,80.825607,-0.023433438,362.91843,314.1582,0.011203189,182.77798
37,23,1002,Morganton,62849.52,22.13019,0.12399881,0.15022808,0.047361754,25935.17788,39919.77988,0.17501469,0.10695766,0.1004881,0.83016545,0.073004663,0.050972369,0.005317301,0.068157859,0.85168946,0.034393765,0.00520584,3.4825852,554.50366,0.31327268,0.22015883,0.27613825,0.32874745,0.62061322,82.251694,0.085345306,179.27789,175.78304,-0.007691911,72.531898
37,25,900,Charlotte,85011.617,28.995892,0.20302609,0.24212059,0.071884446,33330.07847,63532.08764,0.10990566,0.064336941,0.066594221,0.71639395,0.15897894,0.094190806,0.015703626,0.11119887,0.82848543,0.042934392,0.007148259,3.9108186,791.51404,0.26425952,0.16765815,0.22083776,0.24799603,0.67750561,81.16391,-0.12818111,492.08157,362.30106,0.018805454,235.54601
37,27,1100,Hickory,62886.926,22.422911,0.10536645,0.1224172,0.024397463,26557.22617,37948.62621,0.16257903,0.10547487,0.10225758,0.88601571,0.055558901,0.045718964,0.003437672,0.051835008,0.91356367,0.024191726,0.002559208,3.2626514,613.36267,0.30827034,0.20800726,0.27130917,0.30820251,0.65480381,83.226578,0.06605316,176.0708,164.164,-0.012687414,69.739975
37,29,2000,Virginia Beach,70112.258,33.662029,0.16205451,0.1899903,0.025442634,26699,60594.15912,0.093036205,0.10058395,0.16055046,0.8119238,0.13857715,0.021543087,0.013038709,0.1741467,0.80116189,0.007116921,0.005664488,3.6434321,1029.0469,0.17337865,0.11614731,0.19262782,0.19911994,0.5718767,81.419884,,41.487221,28.621193,0.004269634,17.459553
37,31,1900,Jacksonville,70525.727,24.174536,0.19114831,0.22695434,0.035568096,25894.6956,51708.28347,0.12099464,0.10686415,0.11134694,0.87410671,0.067595422,0.033714965,0.007445671,0.072131537,0.8930372,0.017729998,0.005125454,3.7144456,780.75018,0.32375252,0.17725991,0.27627656,0.32599032,0.56235063,83.926514,-0.47908702,137.24503,122.61451,-0.005683237,56.781998
37,33,500,Greensboro,60193.129,31.856672,0.082713313,0.11042668,0.014202325,23124.35992,38056.99372,0.22446904,0.14579257,0.16113573,0.61187232,0.346136,0.031367257,0.002264493,0.36726302,0.60700196,0.017675394,0.001210571,3.3292782,481.1777,0.40232652,0.22821967,0.28728506,0.19589369,0.5490995,85.154015,,55.819527,55.295277,-0.010309955,21.112061
37,35,1100,Hickory,74233.477,22.180447,0.16914427,0.19246383,0.068217948,29777.71476,47173.81683,0.12458977,0.08866626,0.066103444,0.77992719,0.092129983,0.084427111,0.009293189,0.080810159,0.82935816,0.053295501,0.007869082,3.3338158,645.83063,0.29881388,0.19910295,0.26266432,0.33583611,0.68136662,82.158676,0.047154862,387.1319,355.37973,-0.004109438,174.43481
37,37,1701,Raleigh,82048.875,29.066729,0.29086074,0.347009,0.1012047,28731.05056,59256.33383,0.11952188,0.093598709,0.092788182,0.71151876,0.13732778,0.1295646,0.009358984,0.1694725,0.72559381,0.08967308,0.005380492,3.8109055,776.87988,0.24192064,0.22598876,0.23292017,0.27621448,0.63585746,84.564178,0.059028771,93.090584,72.306107,0.002919985,43.353344
37,39,1204,Andrews,53871.258,23.654089,0.11153402,0.16088113,0.024872152,19245.41829,35245.02106,0.1318804,0.15450329,0.20618029,0.9233712,0.017052907,0.025069231,0.004263227,0.0170832,0.94215935,0.012407131,0.002845595,3.1923664,676.70569,0.24297614,0.1674587,0.24070308,0.33551008,0.50819904,84.593353,,60.260063,53.352245,0.010433481,22.453703
